OMNIC Integra
Sample Analysis
2s140519
"2s140519"
Warnings,Samples,Soot (A/.1mm),Oxidation (A/.1mm),Nitration (A/.1mm),Sulfation (A/.1mm),Diesel fuel (%),Water (%),Glycol (%),ZnDTP (A/.1mm),
,, T=0.22 L=0.00 H=0.70, T=0.10 L=0.01 H=1.00, T=0.10 L=0.01 H=1.00, T=0.10 L=0.01 H=1.00, T=0.00 L=0.00 H=6.00, T=0.00 L=0.00 H=0.30, T=0.00 L=0.00 H=0.30, T=-0.20 L=-1.00 H=0.00,
a,a,0.00,0.06,0.05,0.04,0.00,0.00,0.00,-0.06,
a,291087,0.00,0.07,0.06,0.05,0.00,0.00,0.00,-0.05,
a,304370,0.04,0.09,0.08,0.09,0.00,0.00,0.00,-0.03,
,312607,0.47,0.05,0.08,0.04,0.00,0.00,0.19,-0.08,
a,256383,0.11,0.21,0.26,0.20,0.00,0.00,0.00,-0.15,
a,l,0.11,0.21,0.26,0.20,0.00,0.00,0.00,-0.15,
a,310780,0.06,0.11,0.10,0.09,0.00,0.00,0.00,-0.11,
a,310783,0.05,0.11,0.11,0.11,0.00,0.00,0.00,-0.06,
a,310808,0.05,0.12,0.12,0.12,0.00,0.00,0.00,-0.07,
a,310799,0.08,0.09,0.10,0.09,0.00,0.00,0.00,-0.09,
b,b,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.26,
a,291090,0.07,0.10,0.16,0.07,0.00,0.00,0.32,-0.10,
,310772,0.05,0.08,0.13,0.04,0.00,0.00,0.60,-0.13,
a,310762,0.05,0.10,0.10,0.11,0.00,0.00,0.00,-0.05,
a,310815,0.05,0.10,0.10,0.11,0.00,0.00,0.00,-0.05,
b,c,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.25,
b,310820,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.27,
a,310768,0.04,0.11,0.10,0.11,0.00,0.00,0.00,-0.06,
a,310822,0.04,0.11,0.10,0.11,0.00,0.00,0.00,-0.06,
a,310825,0.04,0.10,0.10,0.10,0.00,0.00,0.00,-0.07,
a,m,0.04,0.11,0.11,0.11,0.00,0.00,0.00,-0.05,
a,310821,0.04,0.11,0.11,0.11,0.00,0.00,0.00,-0.05,
a,310774,0.05,0.09,0.10,0.08,0.00,0.00,0.00,-0.08,
a,310775,0.06,0.10,0.10,0.11,0.00,0.00,0.00,-0.05,
a,310740,0.05,0.09,0.09,0.08,0.00,0.00,0.00,-0.07,
b,n,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.21,
a,309184,0.04,0.11,0.10,0.11,0.00,0.00,0.00,-0.04,
a,310743,0.04,0.10,0.10,0.10,0.00,0.00,0.00,-0.05,
a,304366,0.04,0.11,0.10,0.11,0.00,0.00,0.00,-0.04,
a,310812,0.04,0.10,0.10,0.11,0.00,0.00,0.00,-0.05,
ba,d,0.00,0.00,0.02,0.00,0.00,0.00,0.00,-0.24,
,312608,0.00,0.02,0.03,0.00,0.00,0.00,0.00,-0.06,
,312609,0.00,0.02,0.00,0.00,0.00,0.00,0.00,-0.05,
,f,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.15,
,257834,0.00,0.14,0.07,0.09,,0.00,0.14,0.00,
